record,date,DATE2,WEIGHT,QS1,HIDWARD,area,QS2,QS3,HIDAGE1,Q1r1,Q1r2,Q2,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,QD2,QD3r1,noanswerD3_r99,QD4r1,noanswerD4_r99,QD5,QD6,vdecLang
851,10 15 2018 16 34,15,0.641285,M4G,Ward 33, ,Man,1955,63,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 60 001 to  80 000,English (USA)
852,10 15 2018 16 49,15,0.656777,M6M,Ward 12, ,Man,1963,55,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,High school or less, 60 001 to  80 000,English (USA)
863,10 15 2018 16 38,15,1.035387,M4K,Ward 36,Toronto-Danforth,Man,1953,65,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Verymotivating,Incentives  infrastructure and support to increase the use of sustainable transportation methods like cycling ,Making much more transit available,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 80 001 to  100 000,English (USA)
864,10 15 2018 17 04,15,0.656777,M8V,Ward 6, ,Man,1954,64,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Education and information about climate change and its impacts,Actual climate change data education,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university,Prefer not to answer,English (USA)
868,10 15 2018 16 45,15,0.854153,M2L,Ward 27,Don Valley West,Man,1953,65,Not very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Prefer not to say, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Prefer not to answer,Prefer not to answer,English (USA)
873,10 15 2018 16 45,15,0.759095,M6h,Ward 16,Davenport,Woman,1967,51,Extremely concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Verymotivating,Incentives  infrastructure and support to increase the use of sustainable transportation methods like cycling ,More transit that is less crowded and more civilized to encourage more people to get out of their cars.,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 60 001 to  80 000,English (USA)
890,10 15 2018 16 51,15,0.806383,M1P,Ward 40, ,Woman,1966,52,Very concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Prefer not to say, ,,Prefer not to say, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Prefer not to answer,Prefer not to answer,English (USA)
894,10 15 2018 16 45,15,0.82252,M6J,Ward 18,Davenport,Man,1954,64,Very concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,Somewhat motivating,Verymotivating,Somewhat motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Own,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 100 001 to  150 000,English (USA)
895,10 15 2018 16 47,15,0.759095,M9A,Ward 4,Etobicoke Centre,Woman,1967,51,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,2,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
896,10 15 2018 16 46,15,0.61439,M6B,Ward 13, ,Man,1978,40,Not very concerned,Not very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,5,NO TO  How many people  including yourself  live in your household?  Prefer not to say,2,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,High school or less, 60 001 to  80 000,English (USA)
899,10 15 2018 16 52,15,1.01925,M1E,Ward 47, ,Woman,1941,77,Extremely concerned,Extremely concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Education and information about what actions residents can take,Sound the alarm  the time is short.,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 60 001 to  80 000,English (USA)
900,10 15 2018 16 47,15,0.656777,M9l,Ward 7, ,Man,1962,56,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,More than  150 000,English (USA)
914,10 15 2018 16 56,15,0.704065,M1p,Ward 41, ,Man,1971,47,Not very concerned,Not very concerned,Not very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Not very motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,6,NO TO  How many people  including yourself  live in your household?  Prefer not to say,4,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,High school or less, 100 001 to  150 000,English (USA)
916,10 15 2018 16 53,15,0.677169,m1m,Ward 38,Scarborough,Man,1976,42,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university, 40 001 to  60 000,English (USA)
934,10 15 2018 16 58,15,0.897943,m4j,Ward 36,Toronto-Danforth,Woman,1978,40,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Verymotivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
941,10 15 2018 17 05,15,0.743604,M3J,Ward 8,Humber River-Black Creek,Woman,1961,57,Very concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , ,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,Somewhat motivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,High school or less, 80 001 to  100 000,English (USA)
962,10 15 2018 17 16,15,0.641285,M4n,Ward 27,Don Valley West,Man,1955,63,Not at all concerned,Not very concerned,Not very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not very motivating,Verymotivating,Not at all motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 60 001 to  80 000,English (USA)
968,10 15 2018 17 22,15,0.759095,M6H,Ward 16,Davenport,Woman,1961,57,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Not very motivating,Not very motivating,Not very motivating,Not very motivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Townhouse row house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some university, 40 001 to  60 000,English (USA)
972,10 15 2018 17 26,15,0.656777,m8v,Ward 6, ,Man,1968,50,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,City of Toronto events,Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 80 001 to  100 000,English (USA)
974,10 15 2018 17 21,15,0.779487,M1r,Ward 40,Scarborough,Woman,1976,42,Not at all concerned,Not very concerned,Very informed, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,Not very motivating,Verymotivating,Not at all motivating,Not at all motivating,Not at all motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,5,NO TO  How many people  including yourself  live in your household?  Prefer not to say,3,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,Prefer not to answer,English (USA)
975,10 15 2018 17 39,15,0.704065,m1m,Ward 38,Scarborough,Man,1967,51,Not very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 60 001 to  80 000,English (USA)
998,10 15 2018 17 36,15,0.759095,M8V,Ward 6,Etobicoke,Woman,1972,46,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,Other,Carbon taxes,Toronto.ca website,City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,2,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
1007,10 15 2018 17 40,15,0.924839,M5V,Ward 20,Spadina-Fort York,Woman,1965,53,Extremely concerned,Extremely concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Not very motivating,Verymotivating,Somewhat motivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
1011,10 15 2018 17 42,15,0.629881,M6P,Ward 17,Parkdale-High Park,Man,1974,44,Not very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Not very motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
